claim,key,label,unit,sonnet_model,sonnet_value,sonnet_lo,sonnet_hi,sonnet_inside,opus_model,opus_value,opus_lo,opus_hi,opus_inside,opus_plug,audit_only_value,audit_only_lo,audit_only_hi,opus_inside_audit_only,sonnet_audit_only_value,sonnet_audit_only_lo,sonnet_audit_only_hi,sonnet_inside_audit_only,opus_frame_value,opus_frame_lo,opus_frame_hi,note
3,review_demo_bucket,"Demos with no numbers (review rule, framing field)",% of posts,37.7299,34.716413,29.723435,40.25905,1,36.514745,34.975268,29.970917,40.52992,1,17,,,,,,,,,34.82151,29.828533,40.364147,
3,review_hype_no_number,"A cost, speed or accuracy lead with no number (review rule, framing field)",% of posts,9.616395,16.075232,11.869585,21.527221,0,12.993744,15.822947,11.633532,21.275922,1,0,,,,,,,,,16.075232,11.869585,21.527221,
3,cost_only_as_described,"Measured, and a batch or an incumbent already did the job",% of posts,10.649851,12.501927,9.767807,16.618394,1,11.867739,12.491491,9.74561,16.623218,1,0,,,,,,,,,12.501927,9.767807,16.618394,
3,candidates_combined,"Posts that meet the material test, misses included",% of posts,1.593974,1.994088,1.186134,4.597086,1,1.286863,2.021847,1.206023,4.642769,1,0,,,,,,,,,1.994088,1.186134,4.597086,
4,rt_families,"Voice, live chat or collaboration",% of posts,2.732528,3.78131,2.66233,6.303673,1,3.681859,4.015583,2.855623,6.62619,1,7,3.908345,2.748384,7.896371,1,3.78131,2.66233,7.689891,1,3.886407,2.767427,6.40877,
5,live_loop_nongame,A live loop outside games,% of posts,12.611666,7.823086,5.757494,11.137781,0,6.720286,8.069855,5.986658,11.418065,1,11,8.282088,5.877136,13.26963,1,8.215933,5.827037,13.177642,1,8.331056,6.265464,11.645751,
5,live_loop_all,"A live loop, games included (the review's rough construction)",% of posts,30.44316,21.707253,,,,20.589812,22.426423,,,,,22.248908,17.089985,28.426813,1,22.28131,17.130429,28.445934,0,22.387809,,,
6,sub300_set,Posts that need a decision in under 300 ms,% of posts,18.637239,9.442868,7.967341,10.91219,0,14.459339,10.999106,9.53455,12.457503,0,91,10.277346,8.165425,14.296141,0,10.306034,8.187574,14.316973,0,11.036842,9.561315,12.506165,
6,sub300_games,Share of the under-300 ms posts that are games,% of that set,90.789474,90.789474,82.187097,95.466657,1,87.391842,90.789474,82.187097,95.466657,1,,88.052302,,,,88.212203,,,,90.789474,82.187097,95.466657,
7,meta_still,"Posts that are meta (never say what Jev decides, benchmark, wrapper, commentary)",% of posts,21.071992,14.890874,13.262185,16.30207,0,22.412869,20.931214,19.350767,22.233707,0,318,20.738269,16.902762,25.913982,1,19.955765,16.101815,25.190783,1,20.198283,18.569595,21.60948,
7,meta_vague,"Unrelated or unclear, a benchmark, or a wrapper",% of posts,18.794885,12.362235,,,,19.964254,12.608566,,,,,17.072399,,,,16.766853,,,,12.362235,,,
7,meta_meme,Memes,% of posts,0.245227,0.28096,,,,0.268097,0.293222,,,,,0.293222,,,,0.28096,,,,0.28096,,,
7,meta_hot,Hot takes,% of posts,0.210194,0.42144,,,,0.321716,0.439834,,,,,0.439834,,,,0.42144,,,,0.42144,,,
8,attention_top1_views,Share of views on the top 1% of posts,% (census),,53.36907,,,,,53.286413,,,,,,,,,,,,,,,,
8,attention_top1_views_excl_suspect,The same without the low-like-rate posts,% (census),,49.587648,,,,,49.807307,,,,,,,,,,,,,,,,
8,attention_top1_likes,Share of likes on the top 1% of posts,% (census),,47.485616,,,,,46.995964,,,,,,,,,,,,,,,,
9,jev_agree,Jev picks the model's family,% of posts (census),,76.745751,,,,,78.424773,,,,,,,,,,,,,,,,
9,jev_agree_p99,The same at a stated probability of 0.99 or more,% (census),,97.459165,,,,,96.975197,,,,,,,,,,,,,,,,
9,jev_audit_p99,Jev matches the audit's family at 0.99 or more,% of audited,,98.060345,,,,,98.060345,,,,,,,,,,,,,,,,
10,chips_cost_median,Median cost multiple on the claim chips,×,,28.0,,,,,28.0,,,,,,,,,,,,,,,,
10,chips_speed_median,Median speed multiple on the claim chips,×,,6.0,,,,,6.0,,,,,,,,,,,,,,,,
