claim,id,value
cost multiple (N× cheaper),2100983976899068283,100.0
cost multiple (N× cheaper),2100833666918494625,100.0
cost multiple (N× cheaper),2100756207858487563,3.5
cost multiple (N× cheaper),2101000072062222802,90.0
cost multiple (N× cheaper),2100793178014228929,6.6
cost multiple (N× cheaper),2101065336384848330,10.0
cost multiple (N× cheaper),2100930213781676463,47.0
cost multiple (N× cheaper),2100930213781676463,438.0
cost multiple (N× cheaper),2100872434203386116,8.0
cost multiple (N× cheaper),2100922048096915565,164.0
cost multiple (N× cheaper),2100895553361940670,2.0
cost multiple (N× cheaper),2101071647730205135,4.13
cost multiple (N× cheaper),2100925744599966026,3.8
cost multiple (N× cheaper),2100585126652481915,200.0
cost multiple (N× cheaper),2100437998571860087,5.0
cost multiple (N× cheaper),2100649546481070362,1000.0
cost multiple (N× cheaper),2100570643355852954,6000.0
cost multiple (N× cheaper),2100430480642642395,200.0
cost multiple (N× cheaper),2100423271128715387,8.0
cost multiple (N× cheaper),2100606298630816018,10.0
cost multiple (N× cheaper),2100606298630816018,22.0
cost multiple (N× cheaper),2100704291153473739,60.0
cost multiple (N× cheaper),2100430488469196857,200.0
cost multiple (N× cheaper),2100456319421698161,5.0
cost multiple (N× cheaper),2100609074945458185,6.0
cost multiple (N× cheaper),2100606640097771901,40.0
cost multiple (N× cheaper),2100694860877513007,2.0
cost multiple (N× cheaper),2100681802755031394,45.0
cost multiple (N× cheaper),2100588140482400740,63.0
cost multiple (N× cheaper),2100588140482400740,28.0
cost multiple (N× cheaper),2100676461787304000,1760.0
cost multiple (N× cheaper),2100638374428369242,1.0
cost multiple (N× cheaper),2100387266271265223,213.0
cost multiple (N× cheaper),2100610873819840951,145.0
cost multiple (N× cheaper),2100405762493497479,10.0
cost multiple (N× cheaper),2100601783882244337,1.0
cost multiple (N× cheaper),2100605207382303164,39.0
cost multiple (N× cheaper),2100649442647130503,5.0
cost multiple (N× cheaper),2100649442647130503,50.0
cost multiple (N× cheaper),2100458351440048258,820.0
cost multiple (N× cheaper),2100681628481663001,14.0
cost multiple (N× cheaper),2100590289521951094,4.8
cost multiple (N× cheaper),2100434574019121254,155.0
cost multiple (N× cheaper),2100533605906674130,7.0
cost multiple (N× cheaper),2100466991597498530,38.0
cost multiple (N× cheaper),2100687872554926362,12.6
cost multiple (N× cheaper),2100540129592983686,7.0
cost multiple (N× cheaper),2100392292381057059,52.0
cost multiple (N× cheaper),2100561859581456838,25.0
cost multiple (N× cheaper),2100661490772803627,28.0
cost multiple (N× cheaper),2100262612428894676,155.0
cost multiple (N× cheaper),2100290364657848538,1000.0
speed multiple (N× faster),2102578703666413804,6.0
speed multiple (N× faster),2102646684027371754,200.0
speed multiple (N× faster),2102551046778446142,1.0
speed multiple (N× faster),2102592408567648428,3.7
speed multiple (N× faster),2102592408567648428,6.0
speed multiple (N× faster),2102607123825721731,50.0
speed multiple (N× faster),2102631794667577651,1.0
speed multiple (N× faster),2102432538480234946,193.0
speed multiple (N× faster),2102278833433153577,1.0
speed multiple (N× faster),2102443168553922868,3.7
speed multiple (N× faster),2102251573627982243,100.0
speed multiple (N× faster),2102338128929280289,59.0
speed multiple (N× faster),2102383372303577259,5.0
speed multiple (N× faster),2102391212720402925,1.0
speed multiple (N× faster),2102532908628287791,20.0
speed multiple (N× faster),2102391900820963699,60.0
speed multiple (N× faster),2102455561287852227,1.0
speed multiple (N× faster),2102539690540679222,600.0
speed multiple (N× faster),2102395762046906424,1.0
speed multiple (N× faster),2102374855022883293,16.0
speed multiple (N× faster),2102297736011997680,1000.0
speed multiple (N× faster),2102314425990742283,5.0
speed multiple (N× faster),2102230939111702659,4.6
speed multiple (N× faster),2102444826495201482,2.4
speed multiple (N× faster),2102538218847809953,8.0
speed multiple (N× faster),2102487659587477773,15.0
speed multiple (N× faster),2102394467445883145,2.0
speed multiple (N× faster),2102394467445883145,2.8
speed multiple (N× faster),2102435464066285848,6.0
speed multiple (N× faster),2102416066794447329,2.0
speed multiple (N× faster),2102538839701274692,1.51
speed multiple (N× faster),2102392470898352612,200.0
speed multiple (N× faster),2102332190986248294,10.7
speed multiple (N× faster),2102389590304641045,3.0
speed multiple (N× faster),2102389590304641045,8.0
speed multiple (N× faster),2102528136885760007,9.6
speed multiple (N× faster),2102386662219338118,4.2
speed multiple (N× faster),2102411462656536969,11.0
speed multiple (N× faster),2102392864449708209,0.5
speed multiple (N× faster),2102308078544937020,1.0
speed multiple (N× faster),2102039447676014933,1.0
speed multiple (N× faster),2101828851458293827,13.0
speed multiple (N× faster),2102021706613473287,20.0
speed multiple (N× faster),2101948034464805040,18.8
speed multiple (N× faster),2101948034464805040,19.7
speed multiple (N× faster),2101875560515518732,10.0
speed multiple (N× faster),2102031720531034427,1.0
speed multiple (N× faster),2102052409950515654,24.0
speed multiple (N× faster),2101960543125094733,1.0
speed multiple (N× faster),2102080423614726432,50.0
speed multiple (N× faster),2102051917836812621,11.29
speed multiple (N× faster),2101930363446587435,4.26
speed multiple (N× faster),2102081157332353131,913.0
speed multiple (N× faster),2101823727667441671,3.0
speed multiple (N× faster),2101937847674835406,1.0
speed multiple (N× faster),2102015328582508980,43.0
speed multiple (N× faster),2101831282418470995,160.0
speed multiple (N× faster),2102045194614939700,1.0
speed multiple (N× faster),2102040878231491055,1.61
speed multiple (N× faster),2102036888756371605,1580.0
speed multiple (N× faster),2102112625891099045,100.0
speed multiple (N× faster),2102050897887146459,10.0
speed multiple (N× faster),2102100377927819570,1.8
speed multiple (N× faster),2102013361823343017,1.0
speed multiple (N× faster),2102120832638050430,10.0
speed multiple (N× faster),2102053854116483325,2.0
speed multiple (N× faster),2102131273003332050,1.0
speed multiple (N× faster),2102150753850708082,50.0
speed multiple (N× faster),2101894926250168654,1.0
speed multiple (N× faster),2101992213819568393,1.0
speed multiple (N× faster),2102030592418226556,6.6
speed multiple (N× faster),2102077373411733962,30.0
speed multiple (N× faster),2101927007236006170,7.0
speed multiple (N× faster),2102030484871995769,680.0
speed multiple (N× faster),2102133939951280593,1.0
speed multiple (N× faster),2102168494192099698,15.0
speed multiple (N× faster),2102056958467662050,100.0
speed multiple (N× faster),2102067562125181022,150.0
speed multiple (N× faster),2102107087438258477,1.0
speed multiple (N× faster),2101982631642685625,10.0
speed multiple (N× faster),2101982631642685625,40.0
speed multiple (N× faster),2101904985776673141,100.0
speed multiple (N× faster),2101878718138605593,8.0
speed multiple (N× faster),2102118899709821094,2.5
speed multiple (N× faster),2102070534259261780,3.0
speed multiple (N× faster),2102021528456220918,1.0
speed multiple (N× faster),2101544156757950697,1.0
speed multiple (N× faster),2101782262949835211,200.0
speed multiple (N× faster),2101746812738850945,400.0
speed multiple (N× faster),2101810999930331552,2.0
speed multiple (N× faster),2101810999930331552,2.8
speed multiple (N× faster),2101793556071321759,1.0
speed multiple (N× faster),2101724806844715148,4.0
speed multiple (N× faster),2101659113591623727,100.0
speed multiple (N× faster),2101710359593931066,955.6
speed multiple (N× faster),2101517492883431899,15.33
speed multiple (N× faster),2101586635767058471,2.0
speed multiple (N× faster),2101775626789421057,1.0
speed multiple (N× faster),2101771665290215588,3.0
speed multiple (N× faster),2101470134996959681,4.0
speed multiple (N× faster),2101470134996959681,2.5
speed multiple (N× faster),2101817659218354669,100.0
speed multiple (N× faster),2101579836527653342,1.0
speed multiple (N× faster),2101644118686375956,4.0
speed multiple (N× faster),2101557986451939453,1.0
speed multiple (N× faster),2101462798819569872,1.0
speed multiple (N× faster),2101470121944338726,4.0
speed multiple (N× faster),2101584535414821008,1.0
speed multiple (N× faster),2101766059405824090,180.0
speed multiple (N× faster),2101607856407810096,4.0
speed multiple (N× faster),2101551850202001738,16.0
speed multiple (N× faster),2101614572515782941,2.0
speed multiple (N× faster),2101614572515782941,4.0
speed multiple (N× faster),2101535285184200806,10.0
speed multiple (N× faster),2101535285184200806,30.0
speed multiple (N× faster),2101473066366759045,1.0
speed multiple (N× faster),2101633429817487703,33.0
speed multiple (N× faster),2101565083369497055,2.0
speed multiple (N× faster),2101625594920255659,1.0
speed multiple (N× faster),2101810034422526226,7.0
speed multiple (N× faster),2101660508822647005,4.0
speed multiple (N× faster),2101739236118483264,1.0
speed multiple (N× faster),2101718828879315187,1.0
speed multiple (N× faster),2101611835594354958,2.8
speed multiple (N× faster),2101560820740112638,10.0
speed multiple (N× faster),2101685312430768422,25.0
speed multiple (N× faster),2101740979497713703,1.0
speed multiple (N× faster),2101603073340653780,1.8
speed multiple (N× faster),2101604635983421897,4.4
speed multiple (N× faster),2101588313731977589,16.0
speed multiple (N× faster),2101789037992247533,2.0
speed multiple (N× faster),2101789037992247533,3.0
speed multiple (N× faster),2101593036660891804,5.0
speed multiple (N× faster),2101597624541540764,14.0
speed multiple (N× faster),2101574363770413311,2.3
speed multiple (N× faster),2101106887840370919,20.0
speed multiple (N× faster),2101156959546450049,40.0
speed multiple (N× faster),2101293998879150566,1.5
speed multiple (N× faster),2101393861667115437,25.0
speed multiple (N× faster),2101218235920314823,13.0
speed multiple (N× faster),2101307857191006463,13.0
speed multiple (N× faster),2101348194542084116,6.9
speed multiple (N× faster),2101228302342176877,60.0
speed multiple (N× faster),2101212248954065184,5.0
speed multiple (N× faster),2101459218901737709,8.6
speed multiple (N× faster),2101297201469079564,10.0
speed multiple (N× faster),2101330437658362038,12.1
speed multiple (N× faster),2101118529936519453,17.0
speed multiple (N× faster),2101118529936519453,21.0
speed multiple (N× faster),2101152108858704107,3.0
speed multiple (N× faster),2101306090931585100,5.0
speed multiple (N× faster),2101380541215821857,4.0
speed multiple (N× faster),2101360891703017785,8.5
speed multiple (N× faster),2101352251847831776,1.93
speed multiple (N× faster),2101336174656893410,37.5
speed multiple (N× faster),2101435992809038067,9.5
speed multiple (N× faster),2101306528439664849,33.0
speed multiple (N× faster),2101327974335422525,8.31
speed multiple (N× faster),2101335377671782901,40.0
speed multiple (N× faster),2101247093662953934,1.0
speed multiple (N× faster),2101164410958131708,3.0
speed multiple (N× faster),2101413954211758226,4.0
speed multiple (N× faster),2101415970179051981,17.5
speed multiple (N× faster),2101291155883282624,2.5
speed multiple (N× faster),2101422519391555867,10.0
speed multiple (N× faster),2101108417331142863,1.0
speed multiple (N× faster),2101140692927913999,31.0
speed multiple (N× faster),2101288764987289827,5.0
speed multiple (N× faster),2101277345336463807,1.0
speed multiple (N× faster),2101133831969681815,1.0
speed multiple (N× faster),2101354672540045531,47.7
speed multiple (N× faster),2101392052219228496,2.0
speed multiple (N× faster),2101227893120553458,0.35
speed multiple (N× faster),2101452749670076503,4.0
speed multiple (N× faster),2101450790019993922,9.5
speed multiple (N× faster),2101402382584467695,4.6
speed multiple (N× faster),2101319411265315124,1.0
speed multiple (N× faster),2101248586793341057,7.9
speed multiple (N× faster),2101234306551283922,1.0
speed multiple (N× faster),2101136882994470992,1.0
speed multiple (N× faster),2101421569990160622,4.0
speed multiple (N× faster),2101099226197352800,5.0
speed multiple (N× faster),2101354021009137789,10.0
speed multiple (N× faster),2101436002409873809,176.0
speed multiple (N× faster),2101375168593776657,5.0
speed multiple (N× faster),2101375168593776657,16.0
speed multiple (N× faster),2101409070796112265,415.0
speed multiple (N× faster),2100973868324417852,6.0
speed multiple (N× faster),2100959848623899005,100.0
speed multiple (N× faster),2101090579127951694,30.0
speed multiple (N× faster),2100937437325205568,112.0
speed multiple (N× faster),2101010773157761481,19.33
speed multiple (N× faster),2100987661926252737,2.0
speed multiple (N× faster),2100849182127149335,1.0
speed multiple (N× faster),2100884132272181594,7.0
speed multiple (N× faster),2100884132272181594,50.0
speed multiple (N× faster),2100984923926728920,8.6
speed multiple (N× faster),2100978402174120134,8.8
speed multiple (N× faster),2100933183931900346,15.0
speed multiple (N× faster),2100791658346676691,4.0
speed multiple (N× faster),2101009668655272243,10.0
speed multiple (N× faster),2101087134459306356,1.0
speed multiple (N× faster),2100970015977804008,1.0
speed multiple (N× faster),2100788979759231192,7.56
speed multiple (N× faster),2100988663114907720,1.0
speed multiple (N× faster),2100993782619754610,3.0
speed multiple (N× faster),2101032931456168098,14.8
speed multiple (N× faster),2100940521598320753,200.0
speed multiple (N× faster),2100951412570218926,2.4
speed multiple (N× faster),2100812326668587233,6.0
speed multiple (N× faster),2100882724068491471,14.3
speed multiple (N× faster),2101035345643221239,230.0
speed multiple (N× faster),2101012727896363222,70.0
speed multiple (N× faster),2100766495240270157,37.0
speed multiple (N× faster),2101001043626860829,2.0
speed multiple (N× faster),2100875112044269642,19.0
speed multiple (N× faster),2101043821161177381,5.8
speed multiple (N× faster),2100827050374488350,6.0
speed multiple (N× faster),2100810954674212969,25.0
speed multiple (N× faster),2101095353697357921,3.0
speed multiple (N× faster),2100850609805209753,4.0
speed multiple (N× faster),2100919256963756055,9.0
speed multiple (N× faster),2101054115141083209,500.0
speed multiple (N× faster),2100961395537829949,1.0
speed multiple (N× faster),2101061936834023754,1.0
speed multiple (N× faster),2100927192343413104,2.0
speed multiple (N× faster),2100833666918494625,100.0
speed multiple (N× faster),2101063258807623872,1.0
speed multiple (N× faster),2100756207858487563,8.0
speed multiple (N× faster),2101000072062222802,7.0
speed multiple (N× faster),2101000072062222802,40.0
speed multiple (N× faster),2100846150056309107,1.0
speed multiple (N× faster),2101008515632619538,11.0
speed multiple (N× faster),2101007751098851382,20.0
speed multiple (N× faster),2100922048096915565,8.0
speed multiple (N× faster),2100885361761321141,1.0
speed multiple (N× faster),2101043696422494246,10.0
speed multiple (N× faster),2101071647730205135,1.32
speed multiple (N× faster),2101071647730205135,1.68
speed multiple (N× faster),2101078024414244886,3.0
speed multiple (N× faster),2100925744599966026,3.2
speed multiple (N× faster),2100925744599966026,5.0
speed multiple (N× faster),2101041087435378855,0.5
speed multiple (N× faster),2100792812019073507,1.0
speed multiple (N× faster),2101032994374906055,6.4
speed multiple (N× faster),2100777977583956476,10.4
speed multiple (N× faster),2101023707447578678,25.0
speed multiple (N× faster),2100631889585606959,100.0
speed multiple (N× faster),2100722975645598191,100.0
speed multiple (N× faster),2100404532119269426,1.0
speed multiple (N× faster),2100437998571860087,5.0
speed multiple (N× faster),2100649546481070362,5.0
speed multiple (N× faster),2100468943853085061,10.0
speed multiple (N× faster),2100570643355852954,10.0
speed multiple (N× faster),2100735977262141735,6.0
speed multiple (N× faster),2100566009312940457,2.5
speed multiple (N× faster),2100489521557123265,10.0
speed multiple (N× faster),2100709039613100112,8.0
speed multiple (N× faster),2100423795093999819,1.6
speed multiple (N× faster),2100423795093999819,1.64
speed multiple (N× faster),2100609074945458185,6.0
speed multiple (N× faster),2100647394211680286,2.5
speed multiple (N× faster),2100606640097771901,6.0
speed multiple (N× faster),2100694860877513007,3.0
speed multiple (N× faster),2100554586356330942,2.0
speed multiple (N× faster),2100614237488021513,3.1
speed multiple (N× faster),2100544819869184255,4.0
speed multiple (N× faster),2100581721515188451,4.1
speed multiple (N× faster),2100588140482400740,4.7
speed multiple (N× faster),2100676461787304000,22.6
speed multiple (N× faster),2100641560463544708,1.0
speed multiple (N× faster),2100644717138792625,1.93
speed multiple (N× faster),2100480470043763085,3.0
speed multiple (N× faster),2100550028708241698,4.5
speed multiple (N× faster),2100550028708241698,2.6
speed multiple (N× faster),2100638374428369242,1.0
speed multiple (N× faster),2100387266271265223,2.5
speed multiple (N× faster),2100610873819840951,7.7
speed multiple (N× faster),2100649727536640435,1.0
speed multiple (N× faster),2100611224513794207,17.7
speed multiple (N× faster),2100649442647130503,15.0
speed multiple (N× faster),2100454527841529856,3.26
speed multiple (N× faster),2100681628481663001,23.0
speed multiple (N× faster),2100590289521951094,8.2
speed multiple (N× faster),2100600669220847856,29.0
speed multiple (N× faster),2100434574019121254,20.0
speed multiple (N× faster),2100533605906674130,4.1
speed multiple (N× faster),2100723829257421230,7.0
speed multiple (N× faster),2100466991597498530,12.8
speed multiple (N× faster),2100687872554926362,4.0
speed multiple (N× faster),2100696115456679989,4.0
speed multiple (N× faster),2100696115456679989,2.4
speed multiple (N× faster),2100635102464069714,10.0
speed multiple (N× faster),2100476918978015431,10.0
speed multiple (N× faster),2100720724797280336,90.0
speed multiple (N× faster),2100436880802161004,9.0
speed multiple (N× faster),2100540129592983686,4.0
speed multiple (N× faster),2100561859581456838,2.0
speed multiple (N× faster),2100494705909743678,1.0
speed multiple (N× faster),2100661490772803627,3.4
speed multiple (N× faster),2100300097695232164,5.0
speed multiple (N× faster),2100262612428894676,20.0
speed multiple (N× faster),2100269198727602468,6.0
speed multiple (N× faster),2100299724838379957,1012.0
speed multiple (N× faster),2100373761195401724,5.0
speed multiple (N× faster),2100290364657848538,5.0
speed multiple (N× faster),2100157777595314615,63.0
speed multiple (N× faster),2100157777595314615,8.0
speed multiple (N× faster),2100135954312786047,5.7
accuracy (N% accurate),2102578703666413804,100.0
accuracy (N% accurate),2102671376268370160,94.1
accuracy (N% accurate),2102671376268370160,76.5
accuracy (N% accurate),2102549002487238854,33.0
accuracy (N% accurate),2102549002487238854,32.0
accuracy (N% accurate),2102549002487238854,36.0
accuracy (N% accurate),2102628036055314555,47.0
accuracy (N% accurate),2102561043520340198,74.0
accuracy (N% accurate),2102561043520340198,86.0
accuracy (N% accurate),2102574797272068431,82.0
accuracy (N% accurate),2102566148982350256,24.9
accuracy (N% accurate),2102604958193639640,72.14
accuracy (N% accurate),2102604958193639640,98.86
accuracy (N% accurate),2102604958193639640,94.5
accuracy (N% accurate),2102575529312256373,0.95
accuracy (N% accurate),2102692576465957030,0.32
accuracy (N% accurate),2102692576465957030,0.38
accuracy (N% accurate),2102692576465957030,0.69
accuracy (N% accurate),2102621899482407282,64.0
accuracy (N% accurate),2102672636606300330,91.0
accuracy (N% accurate),2102672636606300330,97.0
accuracy (N% accurate),2102606290753114439,94.0
accuracy (N% accurate),2102592171819909232,69.0
accuracy (N% accurate),2102641737545949210,96.3
accuracy (N% accurate),2102641737545949210,88.4
accuracy (N% accurate),2102641737545949210,89.7
accuracy (N% accurate),2102614156549480875,0.81
accuracy (N% accurate),2102637465211424863,56.0
accuracy (N% accurate),2102447757722050959,100.0
accuracy (N% accurate),2102443168553922868,25.0
accuracy (N% accurate),2102194492606460011,74.4
accuracy (N% accurate),2102359784217530845,97.4
accuracy (N% accurate),2102190802160005277,60.0
accuracy (N% accurate),2102317476814246126,100.0
accuracy (N% accurate),2102317476814246126,85.6
accuracy (N% accurate),2102261423439335517,26.0
accuracy (N% accurate),2102191050324574375,469.0
accuracy (N% accurate),2102191050324574375,168.0
accuracy (N% accurate),2102191050324574375,100.0
accuracy (N% accurate),2102459053314068760,20.8
accuracy (N% accurate),2102532908628287791,60.0
accuracy (N% accurate),2102366720098971832,10.0
accuracy (N% accurate),2102314425990742283,70.8
accuracy (N% accurate),2102534747801129251,42.9
accuracy (N% accurate),2102230939111702659,87.8
accuracy (N% accurate),2102538218847809953,99.0
accuracy (N% accurate),2102538218847809953,97.5
accuracy (N% accurate),2102257806174986370,60.0
accuracy (N% accurate),2102473104522109144,60.0
accuracy (N% accurate),2102208977849536805,50.4
accuracy (N% accurate),2102535784368951560,67.8
accuracy (N% accurate),2102332190986248294,100.0
accuracy (N% accurate),2102449660094799987,61.0
accuracy (N% accurate),2102449660094799987,78.0
accuracy (N% accurate),2102327905858543976,96.9
accuracy (N% accurate),2102327905858543976,6.4
accuracy (N% accurate),2102327905858543976,50.8
accuracy (N% accurate),2102482493085827189,96.0
accuracy (N% accurate),2102242628859494598,1.0
accuracy (N% accurate),2102414652802023598,99.29
accuracy (N% accurate),2102414652802023598,52.8
accuracy (N% accurate),2102414652802023598,77.3
accuracy (N% accurate),2102217276430700865,100.0
accuracy (N% accurate),2102300752341352815,94.9
accuracy (N% accurate),2102300752341352815,33.3
accuracy (N% accurate),2102350818657923334,95.0
accuracy (N% accurate),2102489773185147295,100.0
accuracy (N% accurate),2102369416398954572,10.0
accuracy (N% accurate),2102091983292358839,80.0
accuracy (N% accurate),2101935665663328491,47.0
accuracy (N% accurate),2101935665663328491,70.0
accuracy (N% accurate),2101935665663328491,100.0
accuracy (N% accurate),2101948034464805040,100.0
accuracy (N% accurate),2101932980759589161,91.0
accuracy (N% accurate),2101932980759589161,45.0
accuracy (N% accurate),2101927214820499627,78.21
accuracy (N% accurate),2101927214820499627,65.8
accuracy (N% accurate),2102080423614726432,100.0
accuracy (N% accurate),2102183268137206157,96.5
accuracy (N% accurate),2102183268137206157,93.5
accuracy (N% accurate),2102183268137206157,81.6
accuracy (N% accurate),2102051917836812621,99.971
accuracy (N% accurate),2102057613655454184,67.0
accuracy (N% accurate),2102057613655454184,15.0
accuracy (N% accurate),2101842185448718843,98.9
accuracy (N% accurate),2102082638861479942,80.0
accuracy (N% accurate),2102082638861479942,20.0
accuracy (N% accurate),2102006756926788092,74.0
accuracy (N% accurate),2102080664527044940,99.8
accuracy (N% accurate),2101951949755347284,0.7
accuracy (N% accurate),2101951949755347284,0.6
accuracy (N% accurate),2102093905940611452,60.0
accuracy (N% accurate),2101999493965398187,91.8
accuracy (N% accurate),2102099108387545297,87.0
accuracy (N% accurate),2102125508721004903,64.94
accuracy (N% accurate),2102125508721004903,77.49
accuracy (N% accurate),2102125508721004903,86.58
accuracy (N% accurate),2102079871388201146,65.0
accuracy (N% accurate),2102052707024466181,74.6
accuracy (N% accurate),2102085324801483181,83.7
accuracy (N% accurate),2102085324801483181,61.6
accuracy (N% accurate),2102085324801483181,31.2
accuracy (N% accurate),2102125246522478695,93.0
accuracy (N% accurate),2102134887012573213,75.0
accuracy (N% accurate),2101996018997043661,100.0
accuracy (N% accurate),2102027382974775722,16.0
accuracy (N% accurate),2102161411895914621,98.7
accuracy (N% accurate),2102161411895914621,69.4
accuracy (N% accurate),2102049977451287008,99.0
accuracy (N% accurate),2102100377927819570,78.0
accuracy (N% accurate),2102104889266683974,84.4
accuracy (N% accurate),2101830711980544168,81.0
accuracy (N% accurate),2102179803856343402,85.4
accuracy (N% accurate),2101881983303364758,11.96
accuracy (N% accurate),2101881983303364758,22.95
accuracy (N% accurate),2102160019538006339,98.0
accuracy (N% accurate),2102101679738925444,54.0
accuracy (N% accurate),2101878783301337214,83.12
accuracy (N% accurate),2101878783301337214,86.58
accuracy (N% accurate),2101932654719299738,78.0
accuracy (N% accurate),2101919542599708826,97.82
accuracy (N% accurate),2102068451959312849,98.9
accuracy (N% accurate),2102157395082260890,70.0
accuracy (N% accurate),2102125921188913469,97.7
accuracy (N% accurate),2102125921188913469,98.1
accuracy (N% accurate),2101839059458969908,96.0
accuracy (N% accurate),2101839059458969908,94.8
accuracy (N% accurate),2101940075072459255,6.0
accuracy (N% accurate),2102026141884141989,33.0
accuracy (N% accurate),2102026141884141989,50.0
accuracy (N% accurate),2101871014787350860,88.0
accuracy (N% accurate),2102076871374503987,88.0
accuracy (N% accurate),2102016401288441919,7.4
accuracy (N% accurate),2101872088210710948,100.0
accuracy (N% accurate),2102078853640524154,1.0
accuracy (N% accurate),2102011463431008731,53.0
accuracy (N% accurate),2102011463431008731,22.0
accuracy (N% accurate),2101886181759922425,62.6
accuracy (N% accurate),2101886181759922425,95.0
accuracy (N% accurate),2102003496371544134,50.9
accuracy (N% accurate),2102003496371544134,62.4
accuracy (N% accurate),2102003496371544134,57.21
accuracy (N% accurate),2101947155380601199,100.0
accuracy (N% accurate),2102110723048714593,79.0
accuracy (N% accurate),2102110723048714593,70.0
accuracy (N% accurate),2101905596077178911,10.0
accuracy (N% accurate),2102173779635867796,100.0
accuracy (N% accurate),2102172944898142711,100.0
accuracy (N% accurate),2102104595048902754,90.0
accuracy (N% accurate),2101657121746198981,97.0
accuracy (N% accurate),2101670746883768607,87.0
accuracy (N% accurate),2101611863507419411,82.0
accuracy (N% accurate),2101611863507419411,86.0
accuracy (N% accurate),2101642632837366105,72.5
accuracy (N% accurate),2101640135683055827,63.0
accuracy (N% accurate),2101640135683055827,44.5
accuracy (N% accurate),2101640135683055827,11.1
accuracy (N% accurate),2101709185155231895,81.2
accuracy (N% accurate),2101556641904967917,79.0
accuracy (N% accurate),2101794050781090153,77.0
accuracy (N% accurate),2101626109356097857,50.0
accuracy (N% accurate),2101656635534119127,87.0
accuracy (N% accurate),2101635745211670750,60.0
accuracy (N% accurate),2101679703673454669,61.4
